Stress;Priority Matter
Disruption of natural hydrological dynamics;Water Cycle Mismanagement
Mismanagement of urban metabolism;Water Cycle Mismanagement
Environmental pollution;Ecosystem Imbalance
Vegetation loss;Ecosystem Imbalance
Urban Heat Islands;Ecosystem Imbalance
Limited business attractiveness;Economic Underperformance
Weak economic diversity;Economic Underperformance
Informal economy;Economic Underperformance
Reduced productivity;Economic Underperformance
Social unrest;Economic Underperformance
