Industry Sector;Product by Sector;Employment by sector;
Public Administration;1706595,534;9250000;
Retail sector;808387,3582;9160000;
Administrative Activities;371259,3793;4200000;
Human Healthcare and Social Services ;281438,5617;2290000;
Education;371259,3793;2040000;
Processing Industries;856291,7942;6750000;
Construction;131737,1991;1960000;
Lodging and Food;191617,7442;1890000;
Transport and Postal Services;275450,5072;2310000;
Others;107784,9811;;
Specialized Services;149701,3626;1020000;
Agriculture;119761,0901;1390000;
Eletricity and Gas;41916,38154;125000;
Domestic Services;0;3300;
Extractive Industry;59880,54505;212000;
Information and Communication;161677,4716;338000;
Arts , entertainment and recreation;23952,21802;254000;
Real estate activities;11976,10901;143000;
Financial Activities;251498,2892;870000;
Water supply, sewerage, waste management and remediation activities;53892,49055;333000;
