city;type;description;year;status;category;url
teresina;Policy;Política Nacional de Mobilidade Urbana PNMU - Lei 12.587/12;2012;Approved;National;http://www.senado.gov.br/noticias/Jornal/emdiscussao/motos/legislacao-e-fiscalizacao/politica-nacional-de-mobilidade-urbana-pnmu-do-governo-federal-lei-12-587-12-pretende-estimular-transporte-coletivo-publico-nas-cidades.aspx
teresina;Policy;Sistema de Apoio a  Elaboraçao de Planos de Mobilidade Urbana - Lei n. 12.587, de janeiro de 2012;2012;Approved;National;https://www.gov.br/mdr/pt-br/assuntos/mobilidade-e-servicos-urbanos/sistema-de-apoio-a-elaboracao-de-planos-de-mobilidade-urbana
teresina;Initiative;Euroclima+;2020;Under development;;;
teresina;Initiative;MUV;2018;Approved;Local;;
teresina;Initiative;Programa RETREM - Instruaçao Normativa n. 27/2017;2017;Approved;National;https://www.gov.br/mdr/pt-br/assuntos/mobilidade-e-servicos-urbanos/programa-retrem
teresina;Initiative;Programa REFROTA - Instruaçao Normativa n. 27/2017;2017;Approved;National;https://www.gov.br/mdr/pt-br/assuntos/mobilidade-e-servicos-urbanos/programa-refrota-1
teresina;Initiative;Avanaçar Cidades Mobilidade Urbana - Instruaçao Normativa n. 27/2017;2017;Approved;National;https://www.gov.br/mdr/pt-br/assuntos/mobilidade-e-servicos-urbanos/avancar-cidades-2013-mobilidade-urbana-1
teresina;Initiative;parceria para melhorar mobilidade urbana de Teresina;2020;Approved;Local;https://www.gov.br/mdr/pt-br/noticias/bid-e-mdr-fazem-parceria-para-melhorar-mobilidade-urbana-de-teresina
teresina;Plan;Camara Brasileira da Industria 4.0 e Mapeamento 4.0;2019;Approved;National;https://www.gov.br/economia/pt-br/assuntos/noticias/2019/09/governo-federal-lanca-plano-para-alavancar-industria-4.0
teresina;Plan;Plano nacional de investimentos;2020;Approved;National;https://tvbrasil.ebc.com.br/tags/plano-nacional-de-investimentos
teresina;Plan;Plano Plurianual 2020-2023 Estado do Piauí;2020;Approved;Supra-local;http://www.antigoseplan.pi.gov.br/upe/PPA/PPA_2020_2023/anexo-i.pdf
teresina;Plan;Plano Regional de Desenvolvimento do Nordeste (PRDNE);2019;Approved;Supra-local;https://www.gov.br/sudene/pt-br/centrais-de-conteudo/prdne-v-06-12-2019-v2-pdf
teresina;Plan;Plano de Desenvolvimento Econamico Sustenta¡vel;2016;Approved;Supra-local;http://www.cepro.pi.gov.br/download/201608/CEPRO02_9b568b361f.pdf
teresina;Plan;Camara Brasileira da Industria 4.0 e Mapeamento 4.0;2019;Approved;National;https://www.gov.br/economia/pt-br/assuntos/noticias/2019/09/governo-federal-lanca-plano-para-alavancar-industria-4.0
teresina;Policy;Portarias 05/2020 e 07/2020 SEMEST - Banco Popular estabelecem medidas de flexibilizaçao de cobrança de dívidas do banco popular durante a pandemia de COVID-19;2020;Approved;Local;
teresina;Policy;LEI N. 4.855, DE 23 DE DEZEMBRO DE 2015. Altera dispositivos da Lei n. 2.528, de 23 de maio de 1997, que dispone sobre a Política de Benefícios e Incentivos Fiscais do Município de Teresina e das outras providencias, com alteraaçaµes posteriores, na forma que especifica.;2015;Approved;Local;
teresina;Plan;Plano nacional de investimentos;2020;Approved;National;https://tvbrasil.ebc.com.br/tags/plano-nacional-de-investimentos
teresina;Plan;Plano de desenvolvimento econamico sustentavel do Piauí;2016;Approved;Supra-local;http://www.cepro.pi.gov.br/download/201608/CEPRO02_9b568b361f.pdf
teresina;Initiative;COLAB;2014;Approved;Local;https://app.colab.re/BR/PI/Teresina
teresina;Initiative;TransformaGov - Decreto 10.382/2020;2020;Approved;National;http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/decreto/D10382.htm
teresina;Initiative;Programa Brasil Eficiente;2017;Approved;National;http://www.brasileficiente.gov.br/
teresina;Initiative;Programa de eficiancia e efetividade nos controles internos orientados para resultados - CGE PI;2020;Approved;Local;https://www.pi.gov.br/noticias/cge-implanta-projeto-para-atender-com-agilidade-demandas-sociais/
teresina;Plan;Plano de Capacitaçao Municipal (CAF);2020;Not Approved;Local;;
teresina;Plan;Hiring the Open Data Master Plan;2020;Under development;Local;;
