city;stress;priority_matter
teresina;Disruption of natural hydrological dynamics;Water Cycle Mismanagement
teresina;Mismanagement of urban metabolism;Water Cycle Mismanagement
teresina;Environmental pollution;Ecosystem Imbalance
teresina;Vegetation loss;Ecosystem Imbalance
teresina;Urban Heat Islands;Ecosystem Imbalance
teresina;Limited business attractiveness;Economic Underperformance
teresina;Weak economic diversity;Economic Underperformance
teresina;Informal economy;Economic Underperformance
teresina;Reduced productivity;Economic Underperformance
teresina;Social unrest;Economic Underperformance
