city;stressor;stress
teresina;Urban sprawl;Disruption of natural hydrological dynamics
teresina;Housing in hazardous areas;Disruption of natural hydrological dynamics
teresina;Solid waste mismanagement;Mismanagement of urban metabolism
teresina;Wastewater mismanagement;Mismanagement of urban metabolism
teresina;Inefficient stormwater solutions;Mismanagement of urban metabolism
teresina;Water contamination;Environmental pollution
teresina;Soil degradation;Environmental pollution
teresina;Deforestation;Vegetation loss
teresina;Urban vegatation loss;Vegetation loss
teresina;Inadequate green infrastructures and nature based solutions;Vegetation loss
teresina;Inadequate green cover;Urban Heat Islands
teresina;Impermeable surfaces;Urban Heat Islands
teresina;Thermal mass;Urban Heat Islands
teresina;Market disconnectivity;Limited business attractiveness
teresina;National rules and regulations;Limited business attractiveness
teresina;Inefficiency of local public services;Limited business attractiveness
teresina;Limited availability of capital and human resources;Limited business attractiveness
teresina;Market disconnectivity;Weak economic diversity
teresina;Limited availability of capital and human resources;Weak economic diversity
teresina;Reduced formal job opportunities;Informal economy
teresina;National rules and regulations;Informal economy
teresina;Labour market dynamics;Reduced productivity
teresina;Mismanagement of urban mobility;Reduced productivity
teresina;Inefficient transport networks and supply chains;Reduced productivity
